Airline Name,Review Date,Type Of Traveller,Seat Type,Date Flown,Recommended,Verified,Overall_Rating,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money
Adria Airways,21st October 2016,Solo Leisure,Economy Class,October 2016,no,FALSE,2,1,1,2,3,1,,1
Adria Airways,10th October 2016,Solo Leisure,Economy Class,October 2016,no,FALSE,3,3,1,1,2,2,,2
Adria Airways,30th September 2016,Couple Leisure,Economy Class,August 2016,no,FALSE,3,2,2,,4,,,4
Adria Airways,4th September 2016,Family Leisure,Economy Class,September 2016,yes,FALSE,6,2,4,3,3,4,4,4
Adria Airways,6th August 2016,Couple Leisure,Economy Class,July 2016,no,FALSE,3,4,5,,1,,,3
Adria Airways,29th July 2016,Solo Leisure,Economy Class,July 2016,yes,FALSE,1,5,5,5,5,,,5
Adria Airways,13th July 2016,Business,Economy Class,July 2016,yes,FALSE,8,4,4,3,5,,,4
Adria Airways,11th July 2016,Solo Leisure,Economy Class,July 2016,yes,FALSE,1,5,5,,5,,,5
Adria Airways,10th July 2016,Solo Leisure,Economy Class,July 2016,yes,FALSE,6,3,2,2,4,2,,3
Adria Airways,25th January 2016,Solo Leisure,Economy Class,January 2016,no,FALSE,3,2,3,1,3,1,,1
Adria Airways,4th December 2015,Couple Leisure,Economy Class,September 2015,no,FALSE,5,3,3,,3,,,2
Adria Airways,3rd October 2015,Solo Leisure,Economy Class,September 2015,yes,FALSE,7,5,1,1,5,,,5
Adria Airways,20th September 2015,Business,Business Class,September 2015,yes,FALSE,9,5,5,5,5,4,,5
Adria Airways,9th September 2015,Family Leisure,Economy Class,February 2015,no,FALSE,5,4,3,,3,,,3
Adria Airways,4th September 2015,Family Leisure,Economy Class,August 2015,yes,FALSE,6,4,5,,5,,,2
Adria Airways,2nd September 2015,Family Leisure,Economy Class,August 2015,yes,FALSE,1,5,5,,5,,,4
Adria Airways,10th April 2015,,Economy Class,,yes,FALSE,7,4,4,4,,0,,4
Adria Airways,5th January 2015,,Business Class,,yes,FALSE,1,4,5,4,,1,,5
Adria Airways,14th September 2014,,Economy Class,,yes,FALSE,9,5,5,4,,0,,5
Adria Airways,6th September 2014,,Business Class,,yes,FALSE,8,4,4,3,,1,,4
Adria Airways,16th June 2014,,Economy Class,,no,FALSE,4,4,2,1,,2,,2
Adria Airways,8th June 2014,,Economy Class,,yes,FALSE,9,4,4,3,,3,,4
Adria Airways,1st June 2014,,Economy Class,,yes,FALSE,5,4,4,1,,0,,3
Adria Airways,10th May 2014,,Economy Class,,yes,FALSE,9,5,5,4,,3,,4
Adria Airways,13th January 2014,,Business Class,,yes,FALSE,8,4,3,4,,1,,4
Adria Airways,6th January 2014,,Economy Class,,yes,FALSE,1,5,5,4,,4,,4
Adria Airways,22nd October 2013,,Economy Class,,yes,FALSE,9,4,4,4,,4,,4
Adria Airways,28th August 2013,,Economy Class,,yes,FALSE,7,4,5,3,,3,,5
Adria Airways,19th August 2013,,Economy Class,,yes,FALSE,8,4,4,4,,0,,4
Adria Airways,19th August 2013,,Business Class,,yes,FALSE,7,3,3,4,,1,,4
Adria Airways,10th June 2013,,Business Class,,yes,FALSE,7,2,5,4,,0,,4
Adria Airways,27th May 2013,,Economy Class,,yes,FALSE,5,4,4,1,,0,,4
Adria Airways,8th October 2012,,Economy Class,,yes,FALSE,9,4,5,4,,0,,2
Adria Airways,4th July 2012,,Economy Class,,yes,FALSE,5,,,,,,,4
Adria Airways,17th June 2012,,Economy Class,,yes,FALSE,5,,,,,,,4
Adria Airways,12th June 2012,,Economy Class,,yes,FALSE,8,,,,,,,1
Adria Airways,16th February 2012,,Economy Class,,yes,FALSE,9,,,,,,,4
Adria Airways,17th January 2012,,Economy Class,,no,FALSE,5,,,,,,,1
Adria Airways,20th September 2011,,Economy Class,,yes,FALSE,9,,,,,,,4
Adria Airways,13th September 2011,,Business Class,,yes,FALSE,9,,,,,,,4
Adria Airways,13th September 2011,,Business Class,,yes,FALSE,1,,,,,,,4
Adria Airways,19th January 2011,,Economy Class,,yes,FALSE,7,,,,,,,1
Adria Airways,7th January 2011,,Economy Class,,no,FALSE,5,,,,,,,1
Adria Airways,10th October 2010,,Economy Class,,no,FALSE,5,,,,,,,1
Adria Airways,25th November 2009,,Economy Class,,yes,FALSE,6,,,,,,,1
Adria Airways,27th May 2009,,Economy Class,,yes,FALSE,7,,,,,,,4
Adria Airways,26th May 2009,,Economy Class,,yes,FALSE,5,,,,,,,4
Adria Airways,28th February 2009,,,,no,FALSE,3,,,,,,,
Adria Airways,29th May 2008,,,,no,FALSE,4,,,,,,,
Adria Airways,12th May 2008,,,,no,FALSE,4,,,,,,,
Adria Airways,11th February 2008,,,,no,FALSE,4,,,,,,,
Adria Airways,4th October 2007,,,,no,FALSE,n,,,,,,,
Adria Airways,8th August 2007,,,,no,FALSE,n,,,,,,,
Adria Airways,14th July 2007,,,,no,FALSE,n,,,,,,,
Adria Airways,24th March 2007,,,,no,FALSE,n,,,,,,,
Adria Airways,9th October 2006,,,,no,FALSE,n,,,,,,,
Adria Airways,29th September 2006,,,,no,FALSE,n,,,,,,,
Adria Airways,27th September 2006,,,,no,FALSE,n,,,,,,,
Adria Airways,2nd August 2006,,,,no,FALSE,n,,,,,,,
Adria Airways,21st February 2006,,,,no,FALSE,n,,,,,,,
Adria Airways,1st October 2005,,,,no,FALSE,n,,,,,,,
Adria Airways,15th September 2005,,,,no,FALSE,n,,,,,,,
Adria Airways,3rd December 2004,,,,no,FALSE,n,,,,,,,
Adria Airways,18th March 2004,,,,no,FALSE,n,,,,,,,
Adria Airways,1st November 2003,,,,no,FALSE,n,,,,,,,
Adria Airways,31st July 2003,,,,no,FALSE,n,,,,,,,
Adria Airways,6th December 2002,,,,no,FALSE,n,,,,,,,
Adria Airways,25th August 2002,,,,no,FALSE,n,,,,,,,
Aegean Airlines,24th July 2023,Family Leisure,Economy Class,July 2023,no,TRUE,1,2,1,1,1,4,2,1
Aegean Airlines,19th July 2023,Couple Leisure,Economy Class,June 2023,no,TRUE,1,3,1,3,1,,,1
Aegean Airlines,17th July 2023,Family Leisure,Economy Class,May 2023,yes,TRUE,4,2,3,3,2,1,,2
Aegean Airlines,16th July 2023,Couple Leisure,Premium Economy,July 2023,no,TRUE,4,3,2,,2,,,2
Aegean Airlines,16th July 2023,Couple Leisure,Economy Class,July 2023,no,FALSE,1,1,1,1,1,1,1,1
Aegean Airlines,15th July 2023,Couple Leisure,Business Class,July 2023,no,FALSE,1,1,1,1,1,1,1,1
Aegean Airlines,11th July 2023,Couple Leisure,Economy Class,July 2023,no,FALSE,1,3,3,1,1,,,2
Aegean Airlines,7th July 2023,Couple Leisure,Economy Class,July 2023,yes,TRUE,1,3,3,,5,,,5
Aegean Airlines,5th July 2023,Business,Business Class,June 2023,yes,TRUE,8,3,4,4,3,,,4
Aegean Airlines,4th July 2023,Business,Economy Class,June 2023,no,TRUE,4,2,4,3,1,,,2
Aegean Airlines,3rd July 2023,Business,Business Class,July 2023,no,FALSE,1,5,5,5,1,,,1
Aegean Airlines,1st July 2023,Couple Leisure,Economy Class,June 2023,yes,TRUE,6,4,3,2,4,,1,5
Aegean Airlines,1st July 2023,Solo Leisure,Economy Class,June 2023,no,TRUE,1,1,1,,1,,,1
Aegean Airlines,30th June 2023,Couple Leisure,Economy Class,June 2023,no,TRUE,2,1,2,1,1,,,3
Aegean Airlines,29th June 2023,Couple Leisure,Economy Class,June 2023,yes,TRUE,9,5,5,5,4,,,5
Aegean Airlines,30th May 2023,Couple Leisure,Business Class,May 2023,yes,TRUE,9,5,5,5,5,,,5
Aegean Airlines,23rd May 2023,Family Leisure,Economy Class,May 2023,no,TRUE,1,1,1,1,1,1,1,1
Aegean Airlines,2nd May 2023,Business,Economy Class,May 2023,no,FALSE,1,1,1,1,1,,,1
Aegean Airlines,30th April 2023,Couple Leisure,Economy Class,April 2023,yes,TRUE,8,4,5,3,5,,,5
Aegean Airlines,26th April 2023,Solo Leisure,Economy Class,April 2023,yes,TRUE,1,5,5,5,5,3,4,5
Aegean Airlines,23rd April 2023,Solo Leisure,Economy Class,April 2023,yes,TRUE,9,4,5,5,4,,4,4
Aegean Airlines,20th April 2023,Solo Leisure,Economy Class,April 2023,no,TRUE,1,1,1,1,1,,,1
Aegean Airlines,7th April 2023,Solo Leisure,Economy Class,March 2023,no,TRUE,1,3,3,2,1,,,2
Aegean Airlines,1st April 2023,Solo Leisure,Economy Class,March 2023,no,TRUE,3,4,5,3,1,,,3
Aegean Airlines,26th March 2023,Couple Leisure,Business Class,March 2023,yes,TRUE,9,4,5,5,4,4,5,5
Aegean Airlines,21st March 2023,Family Leisure,Business Class,September 2022,yes,TRUE,8,2,4,3,5,4,5,5
Aegean Airlines,16th March 2023,Business,Economy Class,July 2022,no,TRUE,1,3,2,,1,1,1,1
Aegean Airlines,15th March 2023,Family Leisure,Economy Class,March 2023,no,TRUE,2,,,,,,,1
Aegean Airlines,3rd March 2023,Family Leisure,Economy Class,March 2023,no,TRUE,5,1,5,2,5,,1,3
Aegean Airlines,15th February 2023,Couple Leisure,Economy Class,February 2023,no,TRUE,1,,,,,,,1
Aegean Airlines,9th February 2023,Family Leisure,Economy Class,June 2022,no,TRUE,1,1,1,1,1,,,1
Aegean Airlines,13th January 2023,Solo Leisure,Economy Class,December 2022,no,FALSE,2,1,2,1,2,,1,2
Aegean Airlines,9th January 2023,Family Leisure,Economy Class,January 2023,no,TRUE,3,2,3,3,3,3,3,2
Aegean Airlines,31st December 2022,Solo Leisure,Economy Class,December 2022,no,TRUE,5,3,3,3,3,1,,3
Aegean Airlines,18th December 2022,Solo Leisure,Economy Class,December 2022,no,TRUE,1,2,1,1,1,1,1,1
Aegean Airlines,13th November 2022,Family Leisure,Economy Class,November 2022,no,TRUE,1,4,5,4,1,,,1
Aegean Airlines,13th November 2022,Solo Leisure,Economy Class,November 2022,yes,TRUE,1,5,5,3,5,,,5
Aegean Airlines,4th November 2022,Family Leisure,Economy Class,November 2022,no,TRUE,1,2,1,2,3,,2,3
Aegean Airlines,3rd November 2022,Business,Economy Class,September 2022,no,TRUE,2,2,4,3,2,1,1,3
Aegean Airlines,26th October 2022,Solo Leisure,Economy Class,October 2022,yes,TRUE,1,4,5,4,5,,5,5
Aegean Airlines,10th October 2022,Couple Leisure,Economy Class,August 2022,no,TRUE,1,1,1,,1,,,1
Aegean Airlines,6th October 2022,Business,Economy Class,October 2022,no,TRUE,6,3,3,3,3,3,,3
Aegean Airlines,5th October 2022,Couple Leisure,Economy Class,October 2022,no,TRUE,1,2,2,,1,,,1
Aegean Airlines,1st October 2022,Couple Leisure,Economy Class,August 2022,no,FALSE,1,1,1,1,1,1,1,1
Aegean Airlines,30th September 2022,Solo Leisure,Economy Class,September 2022,no,TRUE,5,4,5,3,1,1,,3
Aegean Airlines,20th September 2022,Couple Leisure,Economy Class,September 2022,no,TRUE,1,2,5,2,1,,,1
Aegean Airlines,18th September 2022,Family Leisure,Economy Class,September 2022,yes,TRUE,5,5,5,4,4,,,3
Aegean Airlines,18th September 2022,Solo Leisure,Economy Class,September 2022,yes,TRUE,1,5,5,5,5,,,5
Aegean Airlines,17th September 2022,Business,Economy Class,September 2022,no,TRUE,4,3,3,1,4,,,2
Aegean Airlines,11th September 2022,Couple Leisure,Economy Class,June 2022,no,TRUE,2,3,1,2,2,,,3
Aegean Airlines,5th September 2022,Solo Leisure,Economy Class,September 2022,yes,TRUE,6,2,4,4,4,,,3
Aegean Airlines,2nd September 2022,Couple Leisure,Economy Class,August 2022,no,TRUE,2,2,3,,1,,,1
Aegean Airlines,2nd September 2022,Couple Leisure,Economy Class,September 2022,no,TRUE,2,2,3,3,1,,,1
Aegean Airlines,18th August 2022,Solo Leisure,Economy Class,June 2022,yes,TRUE,1,5,5,5,5,4,,5
Aegean Airlines,12th August 2022,Solo Leisure,Economy Class,August 2022,no,TRUE,5,3,4,3,1,,,1
Aegean Airlines,11th August 2022,Business,Economy Class,August 2022,yes,FALSE,1,4,5,5,5,5,5,5
Aegean Airlines,11th August 2022,Family Leisure,Economy Class,August 2022,no,TRUE,1,2,2,1,1,,,1
Aegean Airlines,2nd August 2022,Business,Economy Class,August 2022,no,TRUE,2,3,3,1,1,,,1
Aegean Airlines,29th July 2022,Business,Economy Class,July 2022,no,TRUE,1,1,1,,1,,,1
Aegean Airlines,11th July 2022,Couple Leisure,Economy Class,July 2022,no,TRUE,1,1,1,,1,,,1
Aegean Airlines,9th July 2022,Solo Leisure,Economy Class,July 2022,yes,FALSE,9,5,5,5,5,4,5,5
Aegean Airlines,8th July 2022,Solo Leisure,Economy Class,July 2022,no,TRUE,2,3,3,1,3,,,2
Aegean Airlines,7th July 2022,Solo Leisure,Premium Economy,July 2022,no,TRUE,1,1,1,,1,,,1
Aegean Airlines,3rd July 2022,Solo Leisure,Economy Class,July 2022,no,TRUE,1,2,2,,1,,,1
Aegean Airlines,26th June 2022,Solo Leisure,Economy Class,June 2022,yes,FALSE,9,5,5,5,5,4,5,5
Aegean Airlines,25th June 2022,Business,Economy Class,June 2022,no,FALSE,1,3,3,3,1,,,1
Aegean Airlines,20th June 2022,Couple Leisure,Business Class,June 2022,yes,TRUE,7,4,5,3,1,2,1,1
Aegean Airlines,20th June 2022,Solo Leisure,Economy Class,June 2022,no,FALSE,1,2,3,1,1,1,1,1
Aegean Airlines,18th June 2022,Solo Leisure,Economy Class,June 2022,yes,FALSE,1,,,,,,,5
Aegean Airlines,5th May 2022,Couple Leisure,Premium Economy,May 2022,no,TRUE,4,4,1,,4,,,3
Aegean Airlines,4th May 2022,Couple Leisure,Economy Class,May 2022,no,TRUE,1,,,,,,,1
Aegean Airlines,24th April 2022,Solo Leisure,Economy Class,April 2022,yes,TRUE,1,5,5,5,5,,,5
Aegean Airlines,20th April 2022,Solo Leisure,Economy Class,April 2022,yes,FALSE,9,4,5,5,5,5,4,5
Aegean Airlines,19th April 2022,Family Leisure,Economy Class,May 2021,no,TRUE,1,1,1,1,1,1,1,1
Aegean Airlines,19th April 2022,Couple Leisure,Economy Class,April 2022,no,TRUE,1,,,,,,,1
Aegean Airlines,8th April 2022,Business,Business Class,April 2022,no,TRUE,3,1,5,3,5,,,1
Aegean Airlines,7th April 2022,Couple Leisure,Economy Class,September 2021,no,FALSE,1,1,1,1,1,,,1
Aegean Airlines,4th April 2022,Couple Leisure,Economy Class,April 2022,no,TRUE,1,1,3,2,3,,2,1
Aegean Airlines,3rd April 2022,Solo Leisure,Economy Class,March 2022,yes,FALSE,1,4,5,5,5,4,5,5
Aegean Airlines,1st April 2022,Business,Economy Class,April 2022,no,TRUE,1,1,1,1,1,1,1,1
Aegean Airlines,6th March 2022,Business,Economy Class,February 2022,yes,TRUE,1,5,5,5,5,,,5
Aegean Airlines,21st February 2022,Solo Leisure,Economy Class,February 2022,yes,FALSE,9,4,5,4,5,4,4,5
Aegean Airlines,20th February 2022,Family Leisure,Economy Class,February 2022,yes,FALSE,6,2,4,2,5,1,1,2
Aegean Airlines,5th January 2022,Family Leisure,Economy Class,December 2021,yes,TRUE,4,4,2,1,3,1,,1
Aegean Airlines,31st December 2021,Family Leisure,Economy Class,December 2021,no,TRUE,1,2,4,2,1,,,1
Aegean Airlines,25th December 2021,Solo Leisure,Economy Class,November 2021,yes,TRUE,1,5,5,5,5,,,5
Aegean Airlines,7th December 2021,Business,Economy Class,December 2021,no,TRUE,4,4,4,3,1,3,,1
Aegean Airlines,15th November 2021,Business,Economy Class,November 2021,no,TRUE,5,4,5,2,4,,,2
Aegean Airlines,4th November 2021,Business,Economy Class,November 2021,no,TRUE,2,,,,1,,,1
Aegean Airlines,3rd November 2021,Family Leisure,Economy Class,November 2021,no,TRUE,2,2,3,1,1,,,2
Aegean Airlines,10th October 2021,Solo Leisure,Economy Class,October 2021,yes,TRUE,7,3,4,4,4,4,4,5
Aegean Airlines,2nd October 2021,Couple Leisure,Economy Class,October 2021,yes,TRUE,7,3,3,3,4,,,5
Aegean Airlines,2nd October 2021,Couple Leisure,Economy Class,October 2021,no,TRUE,1,,,,,,,1
Aegean Airlines,26th September 2021,Solo Leisure,Economy Class,September 2021,no,TRUE,5,3,4,2,4,,,3
Aegean Airlines,14th September 2021,Solo Leisure,Economy Class,September 2021,no,TRUE,2,3,3,,1,,,1
Aegean Airlines,12th September 2021,Couple Leisure,Economy Class,September 2021,no,TRUE,1,1,1,,1,,,1
Aegean Airlines,10th September 2021,Solo Leisure,Economy Class,September 2021,no,TRUE,3,4,5,4,3,,,3
Aegean Airlines,9th September 2021,Business,Economy Class,September 2021,no,TRUE,3,1,1,1,1,,,1
Aegean Airlines,4th September 2021,Solo Leisure,Business Class,September 2021,yes,FALSE,1,3,5,4,5,3,4,4
Aegean Airlines,3rd September 2021,Family Leisure,Economy Class,September 2021,yes,FALSE,9,4,5,5,5,5,5,5
Aer Lingus,21st July 2023,Couple Leisure,Economy Class,August 2022,no,FALSE,3,4,4,3,1,3,,3
Aer Lingus,18th July 2023,Couple Leisure,Economy Class,July 2023,no,TRUE,1,1,4,1,3,,,2
Aer Lingus,18th July 2023,Couple Leisure,Economy Class,July 2023,yes,TRUE,1,3,5,5,5,,,5
Aer Lingus,18th July 2023,Couple Leisure,Economy Class,July 2023,no,FALSE,3,2,2,,4,,,1
Aer Lingus,15th July 2023,Solo Leisure,Economy Class,July 2023,no,FALSE,2,3,3,,1,,,2
Aer Lingus,14th July 2023,Couple Leisure,Economy Class,May 2023,no,FALSE,1,2,2,1,1,1,1,1
Aer Lingus,10th July 2023,Family Leisure,Economy Class,July 2023,no,FALSE,1,1,1,1,1,1,1,1
Aer Lingus,1st July 2023,Couple Leisure,Economy Class,June 2023,no,FALSE,2,2,4,4,1,1,1,3
Aer Lingus,30th June 2023,Family Leisure,Economy Class,June 2023,no,FALSE,1,3,4,,1,,1,1
Aer Lingus,30th June 2023,Family Leisure,Economy Class,August 2022,no,TRUE,1,2,2,1,3,3,2,3
Aer Lingus,29th June 2023,Family Leisure,Economy Class,June 2023,no,TRUE,1,1,1,1,1,,,1
Aer Lingus,28th June 2023,Couple Leisure,Economy Class,June 2023,no,FALSE,1,1,5,,1,,,1
Aer Lingus,27th June 2023,Family Leisure,Economy Class,June 2023,yes,TRUE,9,4,5,,4,,,5
Aer Lingus,25th June 2023,Couple Leisure,Economy Class,June 2023,no,FALSE,1,1,1,1,1,1,1,1
Aer Lingus,20th June 2023,Couple Leisure,Economy Class,May 2023,no,TRUE,1,1,1,,1,,,1
Aer Lingus,18th June 2023,Solo Leisure,Economy Class,June 2023,no,TRUE,1,3,5,5,1,3,1,1
Aer Lingus,17th June 2023,Couple Leisure,Economy Class,June 2023,no,FALSE,1,1,1,1,1,1,1,1
Aer Lingus,14th June 2023,Couple Leisure,Business Class,June 2023,yes,TRUE,7,5,4,3,5,2,1,4
Aer Lingus,14th June 2023,Family Leisure,Economy Class,May 2023,no,TRUE,2,3,4,4,3,4,4,2
Aer Lingus,13th June 2023,Business,Economy Class,June 2023,no,FALSE,3,1,1,1,1,,,1
Aer Lingus,13th June 2023,Family Leisure,Economy Class,March 2023,no,FALSE,1,3,3,3,1,3,1,1
Aer Lingus,11th June 2023,Business,Business Class,May 2023,no,TRUE,1,1,1,1,1,,,1
Aer Lingus,4th June 2023,Solo Leisure,Economy Class,June 2023,yes,TRUE,7,5,2,,2,,,3
Aer Lingus,28th May 2023,Business,Business Class,May 2023,no,TRUE,1,2,1,1,1,1,1,1
Aer Lingus,28th May 2023,Solo Leisure,Economy Class,May 2023,no,TRUE,3,4,5,1,4,,,4
Aer Lingus,27th May 2023,Family Leisure,Economy Class,May 2023,no,TRUE,2,4,3,3,1,3,3,2
Aer Lingus,24th May 2023,Business,Economy Class,May 2023,yes,TRUE,1,5,5,,5,,,5
Aer Lingus,23rd May 2023,Couple Leisure,Economy Class,May 2023,no,FALSE,1,3,4,4,1,1,1,3
Aer Lingus,19th May 2023,Business,Premium Economy,May 2023,yes,FALSE,8,3,4,4,4,3,3,4
Aer Lingus,18th May 2023,Couple Leisure,Business Class,May 2023,no,TRUE,1,3,1,1,1,,,4
Aer Lingus,18th May 2023,Solo Leisure,Economy Class,May 2023,no,TRUE,3,3,1,1,3,4,2,2
Aer Lingus,17th May 2023,Business,Business Class,May 2023,no,TRUE,3,3,2,2,2,3,1,2
Aer Lingus,14th May 2023,Family Leisure,Economy Class,May 2023,no,FALSE,3,2,3,2,1,3,,2
Aer Lingus,12th May 2023,Solo Leisure,Economy Class,May 2023,no,TRUE,1,2,1,1,1,,,1
Aer Lingus,10th May 2023,Solo Leisure,Economy Class,May 2023,no,TRUE,1,1,1,1,1,1,1,1
Aer Lingus,8th May 2023,Couple Leisure,Economy Class,May 2023,yes,TRUE,1,2,5,2,5,,,5
Aer Lingus,1st May 2023,Family Leisure,Economy Class,August 2022,no,FALSE,3,4,4,4,1,4,2,3
Aer Lingus,27th April 2023,Solo Leisure,Economy Class,April 2023,no,FALSE,1,1,1,,1,,,1
Aer Lingus,15th April 2023,Solo Leisure,Economy Class,April 2023,yes,FALSE,9,5,4,3,5,,,5
Aer Lingus,15th April 2023,Business,Economy Class,April 2023,no,TRUE,1,1,5,1,1,1,,1
Aer Lingus,9th April 2023,Family Leisure,Economy Class,April 2023,no,TRUE,1,1,1,1,1,1,1,1
Aer Lingus,7th April 2023,Family Leisure,Economy Class,April 2023,no,TRUE,2,1,1,1,1,1,1,1
Aer Lingus,3rd April 2023,Couple Leisure,Economy Class,April 2023,no,FALSE,1,2,1,1,1,2,1,1
Aer Lingus,28th February 2023,Solo Leisure,Economy Class,February 2023,no,TRUE,6,4,2,1,3,,,3
Aer Lingus,30th January 2023,Couple Leisure,Economy Class,September 2022,yes,FALSE,6,1,3,1,3,3,,4
Aer Lingus,9th January 2023,Couple Leisure,Economy Class,January 2023,no,TRUE,1,,,,,,,1
Aer Lingus,8th January 2023,Family Leisure,Business Class,December 2022,no,TRUE,1,2,1,1,1,2,2,1
Aer Lingus,7th January 2023,Solo Leisure,Economy Class,January 2023,no,FALSE,4,4,4,4,3,5,2,4
Aer Lingus,27th December 2022,Family Leisure,Economy Class,December 2022,no,TRUE,1,2,1,2,1,1,,1
Aer Lingus,24th December 2022,Family Leisure,Economy Class,December 2022,no,FALSE,1,1,1,1,1,1,1,1
Aer Lingus,19th December 2022,Solo Leisure,Economy Class,September 2022,no,FALSE,1,1,2,,1,,,1
Aer Lingus,17th December 2022,Solo Leisure,Economy Class,December 2022,no,TRUE,2,2,2,2,1,2,1,2
Aer Lingus,15th December 2022,Business,Premium Economy,December 2022,no,FALSE,1,1,1,,1,,,1
Aer Lingus,13th December 2022,Couple Leisure,Economy Class,December 2022,no,FALSE,1,1,2,2,1,1,1,1
Aer Lingus,12th December 2022,Solo Leisure,Economy Class,December 2022,no,TRUE,3,3,3,,1,,,1
Aer Lingus,1st December 2022,Solo Leisure,Economy Class,December 2022,no,TRUE,2,1,3,1,1,1,1,1
Aer Lingus,17th November 2022,Solo Leisure,Economy Class,November 2022,no,TRUE,1,,,,1,,,1
Aer Lingus,13th November 2022,Family Leisure,Economy Class,November 2022,no,FALSE,3,4,1,1,3,3,4,3
Aer Lingus,7th November 2022,Solo Leisure,Economy Class,September 2022,no,FALSE,1,1,1,1,1,1,1,1
Aer Lingus,6th November 2022,Couple Leisure,Economy Class,July 2022,no,TRUE,2,3,2,,1,,,1
Aer Lingus,4th November 2022,Family Leisure,Economy Class,November 2022,no,TRUE,1,1,1,1,1,3,3,2
Aer Lingus,29th October 2022,Couple Leisure,Economy Class,July 2022,no,FALSE,1,1,1,1,1,,,1
Aer Lingus,18th October 2022,Family Leisure,Economy Class,June 2022,no,TRUE,1,4,4,2,2,4,3,3
Aer Lingus,13th October 2022,Solo Leisure,Economy Class,October 2022,no,TRUE,2,1,1,1,1,2,,1
Aer Lingus,13th October 2022,Solo Leisure,Economy Class,October 2022,no,FALSE,1,3,1,1,4,1,,2
Aer Lingus,12th October 2022,Couple Leisure,Economy Class,October 2022,no,TRUE,1,2,3,,1,,,1
Aer Lingus,8th October 2022,Couple Leisure,Economy Class,October 2022,no,FALSE,1,1,3,1,1,,,1
Aer Lingus,27th September 2022,Business,Business Class,July 2022,no,FALSE,1,,,,,,,1
Aer Lingus,27th September 2022,Solo Leisure,Economy Class,September 2022,no,TRUE,1,1,3,3,1,,,1
Aer Lingus,25th September 2022,Solo Leisure,Economy Class,September 2022,no,FALSE,5,3,1,1,2,,,1
Aer Lingus,21st September 2022,Solo Leisure,Economy Class,June 2022,no,TRUE,1,3,3,,1,,,1
Aer Lingus,18th September 2022,Couple Leisure,Economy Class,September 2022,no,FALSE,2,2,1,1,2,1,1,2
