Index,Airline Name,Overall_Rating,Review Date,Verified,Type Of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
66,Adria Airways,1,13th September 2011,FALSE,,Business Class,,,,,,,,4,yes
67,Adria Airways,7,19th January 2011,FALSE,,Economy Class,,,,,,,,1,yes
68,Adria Airways,5,7th January 2011,FALSE,,Economy Class,,,,,,,,1,no
69,Adria Airways,5,10th October 2010,FALSE,,Economy Class,,,,,,,,1,no
70,Adria Airways,6,25th November 2009,FALSE,,Economy Class,,,,,,,,1,yes
71,Adria Airways,7,27th May 2009,FALSE,,Economy Class,,,,,,,,4,yes
72,Adria Airways,5,26th May 2009,FALSE,,Economy Class,,,,,,,,4,yes
73,Adria Airways,3,28th February 2009,FALSE,,,,,,,,,,,no
74,Adria Airways,4,29th May 2008,FALSE,,,,,,,,,,,no
75,Adria Airways,4,12th May 2008,FALSE,,,,,,,,,,,no
76,Adria Airways,4,11th February 2008,FALSE,,,,,,,,,,,no
77,Adria Airways,n,4th October 2007,FALSE,,,,,,,,,,,no
78,Adria Airways,n,8th August 2007,FALSE,,,,,,,,,,,no
79,Adria Airways,n,14th July 2007,FALSE,,,,,,,,,,,no
80,Adria Airways,n,24th March 2007,FALSE,,,,,,,,,,,no
81,Adria Airways,n,9th October 2006,FALSE,,,,,,,,,,,no
82,Adria Airways,n,29th September 2006,FALSE,,,,,,,,,,,no
83,Adria Airways,n,27th September 2006,FALSE,,,,,,,,,,,no
84,Adria Airways,n,2nd August 2006,FALSE,,,,,,,,,,,no
85,Adria Airways,n,21st February 2006,FALSE,,,,,,,,,,,no
86,Adria Airways,n,1st October 2005,FALSE,,,,,,,,,,,no
87,Adria Airways,n,15th September 2005,FALSE,,,,,,,,,,,no
88,Adria Airways,n,3rd December 2004,FALSE,,,,,,,,,,,no
89,Adria Airways,n,18th March 2004,FALSE,,,,,,,,,,,no
90,Adria Airways,n,1st November 2003,FALSE,,,,,,,,,,,no
91,Adria Airways,n,31st July 2003,FALSE,,,,,,,,,,,no
92,Adria Airways,n,6th December 2002,FALSE,,,,,,,,,,,no
93,Adria Airways,n,25th August 2002,FALSE,,,,,,,,,,,no
94,Aegean Airlines,1,24th July 2023,TRUE,Family Leisure,Economy Class,July 2023,2,1,1,1,4,2,1,no
95,Aegean Airlines,1,19th July 2023,TRUE,Couple Leisure,Economy Class,June 2023,3,1,3,1,,,1,no
96,Aegean Airlines,4,17th July 2023,TRUE,Family Leisure,Economy Class,May 2023,2,3,3,2,1,,2,yes
97,Aegean Airlines,4,16th July 2023,TRUE,Couple Leisure,Premium Economy,July 2023,3,2,,2,,,2,no
98,Aegean Airlines,1,16th July 2023,FALSE,Couple Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,no
99,Aegean Airlines,1,15th July 2023,FALSE,Couple Leisure,Business Class,July 2023,1,1,1,1,1,1,1,no
100,Aegean Airlines,1,11th July 2023,FALSE,Couple Leisure,Economy Class,July 2023,3,3,1,1,,,2,no
101,Aegean Airlines,1,7th July 2023,TRUE,Couple Leisure,Economy Class,July 2023,3,3,,5,,,5,yes
102,Aegean Airlines,8,5th July 2023,TRUE,Business,Business Class,June 2023,3,4,4,3,,,4,yes
103,Aegean Airlines,4,4th July 2023,TRUE,Business,Economy Class,June 2023,2,4,3,1,,,2,no
104,Aegean Airlines,1,3rd July 2023,FALSE,Business,Business Class,July 2023,5,5,5,1,,,1,no
105,Aegean Airlines,6,1st July 2023,TRUE,Couple Leisure,Economy Class,June 2023,4,3,2,4,,1,5,yes
106,Aegean Airlines,1,1st July 2023,TRUE,Solo Leisure,Economy Class,June 2023,1,1,,1,,,1,no
107,Aegean Airlines,2,30th June 2023,TRUE,Couple Leisure,Economy Class,June 2023,1,2,1,1,,,3,no
108,Aegean Airlines,9,29th June 2023,TRUE,Couple Leisure,Economy Class,June 2023,5,5,5,4,,,5,yes
109,Aegean Airlines,9,30th May 2023,TRUE,Couple Leisure,Business Class,May 2023,5,5,5,5,,,5,yes
110,Aegean Airlines,1,23rd May 2023,TRUE,Family Leisure,Economy Class,May 2023,1,1,1,1,1,1,1,no
111,Aegean Airlines,1,2nd May 2023,FALSE,Business,Economy Class,May 2023,1,1,1,1,,,1,no
112,Aegean Airlines,8,30th April 2023,TRUE,Couple Leisure,Economy Class,April 2023,4,5,3,5,,,5,yes
113,Aegean Airlines,1,26th April 2023,TRUE,Solo Leisure,Economy Class,April 2023,5,5,5,5,3,4,5,yes
114,Aegean Airlines,9,23rd April 2023,TRUE,Solo Leisure,Economy Class,April 2023,4,5,5,4,,4,4,yes
115,Aegean Airlines,1,20th April 2023,TRUE,Solo Leisure,Economy Class,April 2023,1,1,1,1,,,1,no
116,Aegean Airlines,1,7th April 2023,TRUE,Solo Leisure,Economy Class,March 2023,3,3,2,1,,,2,no
117,Aegean Airlines,3,1st April 2023,TRUE,Solo Leisure,Economy Class,March 2023,4,5,3,1,,,3,no
118,Aegean Airlines,9,26th March 2023,TRUE,Couple Leisure,Business Class,March 2023,4,5,5,4,4,5,5,yes
119,Aegean Airlines,8,21st March 2023,TRUE,Family Leisure,Business Class,September 2022,2,4,3,5,4,5,5,yes
120,Aegean Airlines,1,16th March 2023,TRUE,Business,Economy Class,July 2022,3,2,,1,1,1,1,no
121,Aegean Airlines,2,15th March 2023,TRUE,Family Leisure,Economy Class,March 2023,,,,,,,1,no
122,Aegean Airlines,5,3rd March 2023,TRUE,Family Leisure,Economy Class,March 2023,1,5,2,5,,1,3,no
123,Aegean Airlines,1,15th February 2023,TRUE,Couple Leisure,Economy Class,February 2023,,,,,,,1,no
124,Aegean Airlines,1,9th February 2023,TRUE,Family Leisure,Economy Class,June 2022,1,1,1,1,,,1,no
125,Aegean Airlines,2,13th January 2023,FALSE,Solo Leisure,Economy Class,December 2022,1,2,1,2,,1,2,no
126,Aegean Airlines,3,9th January 2023,TRUE,Family Leisure,Economy Class,January 2023,2,3,3,3,3,3,2,no
127,Aegean Airlines,5,31st December 2022,TRUE,Solo Leisure,Economy Class,December 2022,3,3,3,3,1,,3,no
128,Aegean Airlines,1,18th December 2022,TRUE,Solo Leisure,Economy Class,December 2022,2,1,1,1,1,1,1,no
129,Aegean Airlines,1,13th November 2022,TRUE,Family Leisure,Economy Class,November 2022,4,5,4,1,,,1,no
130,Aegean Airlines,1,13th November 2022,TRUE,Solo Leisure,Economy Class,November 2022,5,5,3,5,,,5,yes
131,Aegean Airlines,1,4th November 2022,TRUE,Family Leisure,Economy Class,November 2022,2,1,2,3,,2,3,no
132,Aegean Airlines,2,3rd November 2022,TRUE,Business,Economy Class,September 2022,2,4,3,2,1,1,3,no
133,Aegean Airlines,1,26th October 2022,TRUE,Solo Leisure,Economy Class,October 2022,4,5,4,5,,5,5,yes
134,Aegean Airlines,1,10th October 2022,TRUE,Couple Leisure,Economy Class,August 2022,1,1,,1,,,1,no
135,Aegean Airlines,6,6th October 2022,TRUE,Business,Economy Class,October 2022,3,3,3,3,3,,3,no
136,Aegean Airlines,1,5th October 2022,TRUE,Couple Leisure,Economy Class,October 2022,2,2,,1,,,1,no
137,Aegean Airlines,1,1st October 2022,FALSE,Couple Leisure,Economy Class,August 2022,1,1,1,1,1,1,1,no
138,Aegean Airlines,5,30th September 2022,TRUE,Solo Leisure,Economy Class,September 2022,4,5,3,1,1,,3,no
139,Aegean Airlines,1,20th September 2022,TRUE,Couple Leisure,Economy Class,September 2022,2,5,2,1,,,1,no
140,Aegean Airlines,5,18th September 2022,TRUE,Family Leisure,Economy Class,September 2022,5,5,4,4,,,3,yes
141,Aegean Airlines,1,18th September 2022,TRUE,Solo Leisure,Economy Class,September 2022,5,5,5,5,,,5,yes
142,Aegean Airlines,4,17th September 2022,TRUE,Business,Economy Class,September 2022,3,3,1,4,,,2,no
143,Aegean Airlines,2,11th September 2022,TRUE,Couple Leisure,Economy Class,June 2022,3,1,2,2,,,3,no
144,Aegean Airlines,6,5th September 2022,TRUE,Solo Leisure,Economy Class,September 2022,2,4,4,4,,,3,yes
145,Aegean Airlines,2,2nd September 2022,TRUE,Couple Leisure,Economy Class,August 2022,2,3,,1,,,1,no
146,Aegean Airlines,2,2nd September 2022,TRUE,Couple Leisure,Economy Class,September 2022,2,3,3,1,,,1,no
147,Aegean Airlines,1,18th August 2022,TRUE,Solo Leisure,Economy Class,June 2022,5,5,5,5,4,,5,yes
148,Aegean Airlines,5,12th August 2022,TRUE,Solo Leisure,Economy Class,August 2022,3,4,3,1,,,1,no
149,Aegean Airlines,1,11th August 2022,FALSE,Business,Economy Class,August 2022,4,5,5,5,5,5,5,yes
150,Aegean Airlines,1,11th August 2022,TRUE,Family Leisure,Economy Class,August 2022,2,2,1,1,,,1,no
151,Aegean Airlines,2,2nd August 2022,TRUE,Business,Economy Class,August 2022,3,3,1,1,,,1,no
152,Aegean Airlines,1,29th July 2022,TRUE,Business,Economy Class,July 2022,1,1,,1,,,1,no
153,Aegean Airlines,1,11th July 2022,TRUE,Couple Leisure,Economy Class,July 2022,1,1,,1,,,1,no
154,Aegean Airlines,9,9th July 2022,FALSE,Solo Leisure,Economy Class,July 2022,5,5,5,5,4,5,5,yes
155,Aegean Airlines,2,8th July 2022,TRUE,Solo Leisure,Economy Class,July 2022,3,3,1,3,,,2,no
156,Aegean Airlines,1,7th July 2022,TRUE,Solo Leisure,Premium Economy,July 2022,1,1,,1,,,1,no
157,Aegean Airlines,1,3rd July 2022,TRUE,Solo Leisure,Economy Class,July 2022,2,2,,1,,,1,no
158,Aegean Airlines,9,26th June 2022,FALSE,Solo Leisure,Economy Class,June 2022,5,5,5,5,4,5,5,yes
159,Aegean Airlines,1,25th June 2022,FALSE,Business,Economy Class,June 2022,3,3,3,1,,,1,no
160,Aegean Airlines,7,20th June 2022,TRUE,Couple Leisure,Business Class,June 2022,4,5,3,1,2,1,1,yes
161,Aegean Airlines,1,20th June 2022,FALSE,Solo Leisure,Economy Class,June 2022,2,3,1,1,1,1,1,no
162,Aegean Airlines,1,18th June 2022,FALSE,Solo Leisure,Economy Class,June 2022,,,,,,,5,yes
163,Aegean Airlines,4,5th May 2022,TRUE,Couple Leisure,Premium Economy,May 2022,4,1,,4,,,3,no
164,Aegean Airlines,1,4th May 2022,TRUE,Couple Leisure,Economy Class,May 2022,,,,,,,1,no
165,Aegean Airlines,1,24th April 2022,TRUE,Solo Leisure,Economy Class,April 2022,5,5,5,5,,,5,yes
166,Aegean Airlines,9,20th April 2022,FALSE,Solo Leisure,Economy Class,April 2022,4,5,5,5,5,4,5,yes
167,Aegean Airlines,1,19th April 2022,TRUE,Family Leisure,Economy Class,May 2021,1,1,1,1,1,1,1,no
168,Aegean Airlines,1,19th April 2022,TRUE,Couple Leisure,Economy Class,April 2022,,,,,,,1,no
169,Aegean Airlines,3,8th April 2022,TRUE,Business,Business Class,April 2022,1,5,3,5,,,1,no
170,Aegean Airlines,1,7th April 2022,FALSE,Couple Leisure,Economy Class,September 2021,1,1,1,1,,,1,no
171,Aegean Airlines,1,4th April 2022,TRUE,Couple Leisure,Economy Class,April 2022,1,3,2,3,,2,1,no
172,Aegean Airlines,1,3rd April 2022,FALSE,Solo Leisure,Economy Class,March 2022,4,5,5,5,4,5,5,yes
173,Aegean Airlines,1,1st April 2022,TRUE,Business,Economy Class,April 2022,1,1,1,1,1,1,1,no
174,Aegean Airlines,1,6th March 2022,TRUE,Business,Economy Class,February 2022,5,5,5,5,,,5,yes
175,Aegean Airlines,9,21st February 2022,FALSE,Solo Leisure,Economy Class,February 2022,4,5,4,5,4,4,5,yes
176,Aegean Airlines,6,20th February 2022,FALSE,Family Leisure,Economy Class,February 2022,2,4,2,5,1,1,2,yes
177,Aegean Airlines,4,5th January 2022,TRUE,Family Leisure,Economy Class,December 2021,4,2,1,3,1,,1,yes
178,Aegean Airlines,1,31st December 2021,TRUE,Family Leisure,Economy Class,December 2021,2,4,2,1,,,1,no
179,Aegean Airlines,1,25th December 2021,TRUE,Solo Leisure,Economy Class,November 2021,5,5,5,5,,,5,yes
180,Aegean Airlines,4,7th December 2021,TRUE,Business,Economy Class,December 2021,4,4,3,1,3,,1,no
181,Aegean Airlines,5,15th November 2021,TRUE,Business,Economy Class,November 2021,4,5,2,4,,,2,no
182,Aegean Airlines,2,4th November 2021,TRUE,Business,Economy Class,November 2021,,,,1,,,1,no
183,Aegean Airlines,2,3rd November 2021,TRUE,Family Leisure,Economy Class,November 2021,2,3,1,1,,,2,no
184,Aegean Airlines,7,10th October 2021,TRUE,Solo Leisure,Economy Class,October 2021,3,4,4,4,4,4,5,yes
185,Aegean Airlines,7,2nd October 2021,TRUE,Couple Leisure,Economy Class,October 2021,3,3,3,4,,,5,yes
186,Aegean Airlines,1,2nd October 2021,TRUE,Couple Leisure,Economy Class,October 2021,,,,,,,1,no
187,Aegean Airlines,5,26th September 2021,TRUE,Solo Leisure,Economy Class,September 2021,3,4,2,4,,,3,no
188,Aegean Airlines,2,14th September 2021,TRUE,Solo Leisure,Economy Class,September 2021,3,3,,1,,,1,no
189,Aegean Airlines,1,12th September 2021,TRUE,Couple Leisure,Economy Class,September 2021,1,1,,1,,,1,no
190,Aegean Airlines,3,10th September 2021,TRUE,Solo Leisure,Economy Class,September 2021,4,5,4,3,,,3,no
191,Aegean Airlines,3,9th September 2021,TRUE,Business,Economy Class,September 2021,1,1,1,1,,,1,no
192,Aegean Airlines,1,4th September 2021,FALSE,Solo Leisure,Business Class,September 2021,3,5,4,5,3,4,4,yes
193,Aegean Airlines,9,3rd September 2021,FALSE,Family Leisure,Economy Class,September 2021,4,5,5,5,5,5,5,yes
194,Aer Lingus,3,21st July 2023,FALSE,Couple Leisure,Economy Class,August 2022,4,4,3,1,3,,3,no
195,Aer Lingus,1,18th July 2023,TRUE,Couple Leisure,Economy Class,July 2023,1,4,1,3,,,2,no
196,Aer Lingus,1,18th July 2023,TRUE,Couple Leisure,Economy Class,July 2023,3,5,5,5,,,5,yes
197,Aer Lingus,3,18th July 2023,FALSE,Couple Leisure,Economy Class,July 2023,2,2,,4,,,1,no
198,Aer Lingus,2,15th July 2023,FALSE,Solo Leisure,Economy Class,July 2023,3,3,,1,,,2,no
199,Aer Lingus,1,14th July 2023,FALSE,Couple Leisure,Economy Class,May 2023,2,2,1,1,1,1,1,no
200,Aer Lingus,1,10th July 2023,FALSE,Family Leisure,Economy Class,July 2023,1,1,1,1,1,1,1,no
201,Aer Lingus,2,1st July 2023,FALSE,Couple Leisure,Economy Class,June 2023,2,4,4,1,1,1,3,no
202,Aer Lingus,1,30th June 2023,FALSE,Family Leisure,Economy Class,June 2023,3,4,,1,,1,1,no
203,Aer Lingus,1,30th June 2023,TRUE,Family Leisure,Economy Class,August 2022,2,2,1,3,3,2,3,no
204,Aer Lingus,1,29th June 2023,TRUE,Family Leisure,Economy Class,June 2023,1,1,1,1,,,1,no
205,Aer Lingus,1,28th June 2023,FALSE,Couple Leisure,Economy Class,June 2023,1,5,,1,,,1,no
206,Aer Lingus,9,27th June 2023,TRUE,Family Leisure,Economy Class,June 2023,4,5,,4,,,5,yes
207,Aer Lingus,1,25th June 2023,FALSE,Couple Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,no
208,Aer Lingus,1,20th June 2023,TRUE,Couple Leisure,Economy Class,May 2023,1,1,,1,,,1,no
209,Aer Lingus,1,18th June 2023,TRUE,Solo Leisure,Economy Class,June 2023,3,5,5,1,3,1,1,no
210,Aer Lingus,1,17th June 2023,FALSE,Couple Leisure,Economy Class,June 2023,1,1,1,1,1,1,1,no
211,Aer Lingus,7,14th June 2023,TRUE,Couple Leisure,Business Class,June 2023,5,4,3,5,2,1,4,yes
212,Aer Lingus,2,14th June 2023,TRUE,Family Leisure,Economy Class,May 2023,3,4,4,3,4,4,2,no
213,Aer Lingus,3,13th June 2023,FALSE,Business,Economy Class,June 2023,1,1,1,1,,,1,no
214,Aer Lingus,1,13th June 2023,FALSE,Family Leisure,Economy Class,March 2023,3,3,3,1,3,1,1,no
215,Aer Lingus,1,11th June 2023,TRUE,Business,Business Class,May 2023,1,1,1,1,,,1,no
216,Aer Lingus,7,4th June 2023,TRUE,Solo Leisure,Economy Class,June 2023,5,2,,2,,,3,yes
217,Aer Lingus,1,28th May 2023,TRUE,Business,Business Class,May 2023,2,1,1,1,1,1,1,no
218,Aer Lingus,3,28th May 2023,TRUE,Solo Leisure,Economy Class,May 2023,4,5,1,4,,,4,no
219,Aer Lingus,2,27th May 2023,TRUE,Family Leisure,Economy Class,May 2023,4,3,3,1,3,3,2,no
220,Aer Lingus,1,24th May 2023,TRUE,Business,Economy Class,May 2023,5,5,,5,,,5,yes
221,Aer Lingus,1,23rd May 2023,FALSE,Couple Leisure,Economy Class,May 2023,3,4,4,1,1,1,3,no
222,Aer Lingus,8,19th May 2023,FALSE,Business,Premium Economy,May 2023,3,4,4,4,3,3,4,yes
223,Aer Lingus,1,18th May 2023,TRUE,Couple Leisure,Business Class,May 2023,3,1,1,1,,,4,no
224,Aer Lingus,3,18th May 2023,TRUE,Solo Leisure,Economy Class,May 2023,3,1,1,3,4,2,2,no
225,Aer Lingus,3,17th May 2023,TRUE,Business,Business Class,May 2023,3,2,2,2,3,1,2,no
226,Aer Lingus,3,14th May 2023,FALSE,Family Leisure,Economy Class,May 2023,2,3,2,1,3,,2,no
227,Aer Lingus,1,12th May 2023,TRUE,Solo Leisure,Economy Class,May 2023,2,1,1,1,,,1,no
228,Aer Lingus,1,10th May 2023,TRUE,Solo Leisure,Economy Class,May 2023,1,1,1,1,1,1,1,no
229,Aer Lingus,1,8th May 2023,TRUE,Couple Leisure,Economy Class,May 2023,2,5,2,5,,,5,yes
230,Aer Lingus,3,1st May 2023,FALSE,Family Leisure,Economy Class,August 2022,4,4,4,1,4,2,3,no
231,Aer Lingus,1,27th April 2023,FALSE,Solo Leisure,Economy Class,April 2023,1,1,,1,,,1,no
232,Aer Lingus,9,15th April 2023,FALSE,Solo Leisure,Economy Class,April 2023,5,4,3,5,,,5,yes
233,Aer Lingus,1,15th April 2023,TRUE,Business,Economy Class,April 2023,1,5,1,1,1,,1,no
234,Aer Lingus,1,9th April 2023,TRUE,Family Leisure,Economy Class,April 2023,1,1,1,1,1,1,1,no
235,Aer Lingus,2,7th April 2023,TRUE,Family Leisure,Economy Class,April 2023,1,1,1,1,1,1,1,no
236,Aer Lingus,1,3rd April 2023,FALSE,Couple Leisure,Economy Class,April 2023,2,1,1,1,2,1,1,no
237,Aer Lingus,6,28th February 2023,TRUE,Solo Leisure,Economy Class,February 2023,4,2,1,3,,,3,no
238,Aer Lingus,6,30th January 2023,FALSE,Couple Leisure,Economy Class,September 2022,1,3,1,3,3,,4,yes
239,Aer Lingus,1,9th January 2023,TRUE,Couple Leisure,Economy Class,January 2023,,,,,,,1,no
240,Aer Lingus,1,8th January 2023,TRUE,Family Leisure,Business Class,December 2022,2,1,1,1,2,2,1,no
241,Aer Lingus,4,7th January 2023,FALSE,Solo Leisure,Economy Class,January 2023,4,4,4,3,5,2,4,no
242,Aer Lingus,1,27th December 2022,TRUE,Family Leisure,Economy Class,December 2022,2,1,2,1,1,,1,no
243,Aer Lingus,1,24th December 2022,FALSE,Family Leisure,Economy Class,December 2022,1,1,1,1,1,1,1,no
244,Aer Lingus,1,19th December 2022,FALSE,Solo Leisure,Economy Class,September 2022,1,2,,1,,,1,no
245,Aer Lingus,2,17th December 2022,TRUE,Solo Leisure,Economy Class,December 2022,2,2,2,1,2,1,2,no
246,Aer Lingus,1,15th December 2022,FALSE,Business,Premium Economy,December 2022,1,1,,1,,,1,no
247,Aer Lingus,1,13th December 2022,FALSE,Couple Leisure,Economy Class,December 2022,1,2,2,1,1,1,1,no
248,Aer Lingus,3,12th December 2022,TRUE,Solo Leisure,Economy Class,December 2022,3,3,,1,,,1,no
249,Aer Lingus,2,1st December 2022,TRUE,Solo Leisure,Economy Class,December 2022,1,3,1,1,1,1,1,no
250,Aer Lingus,1,17th November 2022,TRUE,Solo Leisure,Economy Class,November 2022,,,,1,,,1,no
251,Aer Lingus,3,13th November 2022,FALSE,Family Leisure,Economy Class,November 2022,4,1,1,3,3,4,3,no
252,Aer Lingus,1,7th November 2022,FALSE,Solo Leisure,Economy Class,September 2022,1,1,1,1,1,1,1,no
253,Aer Lingus,2,6th November 2022,TRUE,Couple Leisure,Economy Class,July 2022,3,2,,1,,,1,no
254,Aer Lingus,1,4th November 2022,TRUE,Family Leisure,Economy Class,November 2022,1,1,1,1,3,3,2,no
255,Aer Lingus,1,29th October 2022,FALSE,Couple Leisure,Economy Class,July 2022,1,1,1,1,,,1,no
256,Aer Lingus,1,18th October 2022,TRUE,Family Leisure,Economy Class,June 2022,4,4,2,2,4,3,3,no
