,Airline Name,Overall_Rating,Review Date,Verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
31,Adria Airways,1,29th July 2016,FALSE,Canadair 700,Solo Leisure,Economy Class,TLL to ARN,July 2016,5,5,5,5,,,5,yes
32,Adria Airways,8,13th July 2016,FALSE,CRJ 900,Business,Economy Class,ZRH to LJU,July 2016,4,4,3,5,,,4,yes
33,Adria Airways,1,11th July 2016,FALSE,CRJ900,Solo Leisure,Economy Class,LJU to ZRH,July 2016,5,5,,5,,,5,yes
34,Adria Airways,6,10th July 2016,FALSE,CRJ700,Solo Leisure,Economy Class,LCJ to CDG,July 2016,3,2,2,4,2,,3,yes
35,Adria Airways,3,25th January 2016,FALSE,,Solo Leisure,Economy Class,MUC to PRN,January 2016,2,3,1,3,1,,1,no
36,Adria Airways,5,4th December 2015,FALSE,A319,Couple Leisure,Economy Class,LJU to AMS,September 2015,3,3,,3,,,2,no
37,Adria Airways,7,3rd October 2015,FALSE,CRJ900,Solo Leisure,Economy Class,Ljubljana to Moscow,September 2015,5,1,1,5,,,5,yes
38,Adria Airways,9,20th September 2015,FALSE,A319,Business,Business Class,SKP to LJU,September 2015,5,5,5,5,4,,5,yes
39,Adria Airways,5,9th September 2015,FALSE,CRJ 900,Family Leisure,Economy Class,Frankfurt to Ljubljana,February 2015,4,3,,3,,,3,no
40,Adria Airways,6,4th September 2015,FALSE,,Family Leisure,Economy Class,Ljubljana to Brussels,August 2015,4,5,,5,,,2,yes
41,Adria Airways,1,2nd September 2015,FALSE,A319,Family Leisure,Economy Class,Manchester to Ljubljana,August 2015,5,5,,5,,,4,yes
42,Adria Airways,7,10th April 2015,FALSE,,,Economy Class,,,4,4,4,,0,,4,yes
43,Adria Airways,1,5th January 2015,FALSE,,,Business Class,,,4,5,4,,1,,5,yes
44,Adria Airways,9,14th September 2014,FALSE,,,Economy Class,,,5,5,4,,0,,5,yes
45,Adria Airways,8,6th September 2014,FALSE,,,Business Class,,,4,4,3,,1,,4,yes
46,Adria Airways,4,16th June 2014,FALSE,,,Economy Class,,,4,2,1,,2,,2,no
47,Adria Airways,9,8th June 2014,FALSE,,,Economy Class,,,4,4,3,,3,,4,yes
48,Adria Airways,5,1st June 2014,FALSE,,,Economy Class,,,4,4,1,,0,,3,yes
49,Adria Airways,9,10th May 2014,FALSE,,,Economy Class,,,5,5,4,,3,,4,yes
50,Adria Airways,8,13th January 2014,FALSE,,,Business Class,,,4,3,4,,1,,4,yes
51,Adria Airways,1,6th January 2014,FALSE,,,Economy Class,,,5,5,4,,4,,4,yes
52,Adria Airways,9,22nd October 2013,FALSE,,,Economy Class,,,4,4,4,,4,,4,yes
53,Adria Airways,7,28th August 2013,FALSE,,,Economy Class,,,4,5,3,,3,,5,yes
54,Adria Airways,8,19th August 2013,FALSE,,,Economy Class,,,4,4,4,,0,,4,yes
55,Adria Airways,7,19th August 2013,FALSE,,,Business Class,,,3,3,4,,1,,4,yes
56,Adria Airways,7,10th June 2013,FALSE,,,Business Class,,,2,5,4,,0,,4,yes
57,Adria Airways,5,27th May 2013,FALSE,,,Economy Class,,,4,4,1,,0,,4,yes
58,Adria Airways,9,8th October 2012,FALSE,,,Economy Class,,,4,5,4,,0,,2,yes
59,Adria Airways,5,4th July 2012,FALSE,,,Economy Class,,,,,,,,,4,yes
60,Adria Airways,5,17th June 2012,FALSE,,,Economy Class,,,,,,,,,4,yes
61,Adria Airways,8,12th June 2012,FALSE,,,Economy Class,,,,,,,,,1,yes
62,Adria Airways,9,16th February 2012,FALSE,,,Economy Class,,,,,,,,,4,yes
63,Adria Airways,5,17th January 2012,FALSE,,,Economy Class,,,,,,,,,1,no
64,Adria Airways,9,20th September 2011,FALSE,,,Economy Class,,,,,,,,,4,yes
65,Adria Airways,9,13th September 2011,FALSE,,,Business Class,,,,,,,,,4,yes
66,Adria Airways,1,13th September 2011,FALSE,,,Business Class,,,,,,,,,4,yes
67,Adria Airways,7,19th January 2011,FALSE,,,Economy Class,,,,,,,,,1,yes
68,Adria Airways,5,7th January 2011,FALSE,,,Economy Class,,,,,,,,,1,no
69,Adria Airways,5,10th October 2010,FALSE,,,Economy Class,,,,,,,,,1,no
70,Adria Airways,6,25th November 2009,FALSE,,,Economy Class,,,,,,,,,1,yes
71,Adria Airways,7,27th May 2009,FALSE,,,Economy Class,,,,,,,,,4,yes
72,Adria Airways,5,26th May 2009,FALSE,,,Economy Class,,,,,,,,,4,yes
73,Adria Airways,3,28th February 2009,FALSE,,,,,,,,,,,,,no
74,Adria Airways,4,29th May 2008,FALSE,,,,,,,,,,,,,no
75,Adria Airways,4,12th May 2008,FALSE,,,,,,,,,,,,,no
76,Adria Airways,4,11th February 2008,FALSE,,,,,,,,,,,,,no
77,Adria Airways,n,4th October 2007,FALSE,,,,,,,,,,,,,no
78,Adria Airways,n,8th August 2007,FALSE,,,,,,,,,,,,,no
79,Adria Airways,n,14th July 2007,FALSE,,,,,,,,,,,,,no
80,Adria Airways,n,24th March 2007,FALSE,,,,,,,,,,,,,no
81,Adria Airways,n,9th October 2006,FALSE,,,,,,,,,,,,,no
82,Adria Airways,n,29th September 2006,FALSE,,,,,,,,,,,,,no
83,Adria Airways,n,27th September 2006,FALSE,,,,,,,,,,,,,no
84,Adria Airways,n,2nd August 2006,FALSE,,,,,,,,,,,,,no
85,Adria Airways,n,21st February 2006,FALSE,,,,,,,,,,,,,no
86,Adria Airways,n,1st October 2005,FALSE,,,,,,,,,,,,,no
87,Adria Airways,n,15th September 2005,FALSE,,,,,,,,,,,,,no
88,Adria Airways,n,3rd December 2004,FALSE,,,,,,,,,,,,,no
89,Adria Airways,n,18th March 2004,FALSE,,,,,,,,,,,,,no
90,Adria Airways,n,1st November 2003,FALSE,,,,,,,,,,,,,no
91,Adria Airways,n,31st July 2003,FALSE,,,,,,,,,,,,,no
92,Adria Airways,n,6th December 2002,FALSE,,,,,,,,,,,,,no
93,Adria Airways,n,25th August 2002,FALSE,,,,,,,,,,,,,no
94,Aegean Airlines,1,24th July 2023,TRUE,,Family Leisure,Economy Class,Heraklion to Istanbul via Athens,July 2023,2,1,1,1,4,2,1,no
95,Aegean Airlines,1,19th July 2023,TRUE,,Couple Leisure,Economy Class,Stockholm to Cairo via Athens,June 2023,3,1,3,1,,,1,no
96,Aegean Airlines,4,17th July 2023,TRUE,,Family Leisure,Economy Class,Athens to Brussels,May 2023,2,3,3,2,1,,2,yes
97,Aegean Airlines,4,16th July 2023,TRUE,,Couple Leisure,Premium Economy,Athens to Mykonos,July 2023,3,2,,2,,,2,no
98,Aegean Airlines,1,16th July 2023,FALSE,,Couple Leisure,Economy Class,Barcelona to Athens,July 2023,1,1,1,1,1,1,1,no
99,Aegean Airlines,1,15th July 2023,FALSE,,Couple Leisure,Business Class,Santorini to Florence,July 2023,1,1,1,1,1,1,1,no
100,Aegean Airlines,1,11th July 2023,FALSE,,Couple Leisure,Economy Class,Athens to Chania,July 2023,3,3,1,1,,,2,no
101,Aegean Airlines,1,7th July 2023,TRUE,,Couple Leisure,Economy Class,Santorini to Tel Aviv via Thessaloniki / Athens,July 2023,3,3,,5,,,5,yes
102,Aegean Airlines,8,5th July 2023,TRUE,A320,Business,Business Class,Munich to Athens,June 2023,3,4,4,3,,,4,yes
103,Aegean Airlines,4,4th July 2023,TRUE,,Business,Economy Class,London to Athens,June 2023,2,4,3,1,,,2,no
104,Aegean Airlines,1,3rd July 2023,FALSE,,Business,Business Class,Athens to Mitilini,July 2023,5,5,5,1,,,1,no
105,Aegean Airlines,6,1st July 2023,TRUE,A321,Couple Leisure,Economy Class,Athens to London Heathrow,June 2023,4,3,2,4,,1,5,yes
106,Aegean Airlines,1,1st July 2023,TRUE,,Solo Leisure,Economy Class,Cairo to Athens,June 2023,1,1,,1,,,1,no
107,Aegean Airlines,2,30th June 2023,TRUE,,Couple Leisure,Economy Class,Malaga to Athens,June 2023,1,2,1,1,,,3,no
108,Aegean Airlines,9,29th June 2023,TRUE,A320/A321neo,Couple Leisure,Economy Class,Sofia to Larnaca via Athens,June 2023,5,5,5,4,,,5,yes
109,Aegean Airlines,9,30th May 2023,TRUE,A320ceo,Couple Leisure,Business Class,Rhodes to Athens,May 2023,5,5,5,5,,,5,yes
110,Aegean Airlines,1,23rd May 2023,TRUE,,Family Leisure,Economy Class,Rome to Athens,May 2023,1,1,1,1,1,1,1,no
111,Aegean Airlines,1,2nd May 2023,FALSE,,Business,Economy Class,Mytilini to Athens,May 2023,1,1,1,1,,,1,no
112,Aegean Airlines,8,30th April 2023,TRUE,A320ceo,Couple Leisure,Economy Class,Tirana to Athens,April 2023,4,5,3,5,,,5,yes
113,Aegean Airlines,1,26th April 2023,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,April 2023,5,5,5,5,3,4,5,yes
114,Aegean Airlines,9,23rd April 2023,TRUE,A321 Neo,Solo Leisure,Economy Class,Athens to London,April 2023,4,5,5,4,,4,4,yes
115,Aegean Airlines,1,20th April 2023,TRUE,,Solo Leisure,Economy Class,Belgrade to Marrakech via Athens,April 2023,1,1,1,1,,,1,no
116,Aegean Airlines,1,7th April 2023,TRUE,,Solo Leisure,Economy Class,Corfu to Athens,March 2023,3,3,2,1,,,2,no
117,Aegean Airlines,3,1st April 2023,TRUE,A320neo,Solo Leisure,Economy Class,Brussels to Thessaloniki via Larnaca,March 2023,4,5,3,1,,,3,no
118,Aegean Airlines,9,26th March 2023,TRUE,A321NEO,Couple Leisure,Business Class,Athens to Frankfurt,March 2023,4,5,5,4,4,5,5,yes
119,Aegean Airlines,8,21st March 2023,TRUE,A320,Family Leisure,Business Class,Athens to Berlin,September 2022,2,4,3,5,4,5,5,yes
120,Aegean Airlines,1,16th March 2023,TRUE,,Business,Economy Class,Athens to Stuttgart,July 2022,3,2,,1,1,1,1,no
121,Aegean Airlines,2,15th March 2023,TRUE,,Family Leisure,Economy Class,Tel Aviv to Athens,March 2023,,,,,,,1,no
122,Aegean Airlines,5,3rd March 2023,TRUE,A320,Family Leisure,Economy Class,Athens to Hamburg,March 2023,1,5,2,5,,1,3,no
123,Aegean Airlines,1,15th February 2023,TRUE,,Couple Leisure,Economy Class,Rome to Athens,February 2023,,,,,,,1,no
124,Aegean Airlines,1,9th February 2023,TRUE,,Family Leisure,Economy Class,Madrid to Larnaca via Athens,June 2022,1,1,1,1,,,1,no
125,Aegean Airlines,2,13th January 2023,FALSE,,Solo Leisure,Economy Class,Paris to Munich via Athens,December 2022,1,2,1,2,,1,2,no
126,Aegean Airlines,3,9th January 2023,TRUE,,Family Leisure,Economy Class,Athens to Brussels,January 2023,2,3,3,3,3,3,2,no
127,Aegean Airlines,5,31st December 2022,TRUE,,Solo Leisure,Economy Class,London to Corfu via Athens,December 2022,3,3,3,3,1,,3,no
128,Aegean Airlines,1,18th December 2022,TRUE,,Solo Leisure,Economy Class,Santorini to Athens,December 2022,2,1,1,1,1,1,1,no
129,Aegean Airlines,1,13th November 2022,TRUE,,Family Leisure,Economy Class,Athens to Zurich,November 2022,4,5,4,1,,,1,no
130,Aegean Airlines,1,13th November 2022,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,November 2022,5,5,3,5,,,5,yes
131,Aegean Airlines,1,4th November 2022,TRUE,,Family Leisure,Economy Class,Rhodes to Stockholm,November 2022,2,1,2,3,,2,3,no
132,Aegean Airlines,2,3rd November 2022,TRUE,,Business,Economy Class,Belgrade to Chania,September 2022,2,4,3,2,1,1,3,no
133,Aegean Airlines,1,26th October 2022,TRUE,A321NEO and A321,Solo Leisure,Economy Class,Madrid to Heraklion via Athens,October 2022,4,5,4,5,,5,5,yes
134,Aegean Airlines,1,10th October 2022,TRUE,,Couple Leisure,Economy Class,Santorini to Athens,August 2022,1,1,,1,,,1,no
135,Aegean Airlines,6,6th October 2022,TRUE,A321 Neo,Business,Economy Class,Larnaca to Athens,October 2022,3,3,3,3,3,,3,no
136,Aegean Airlines,1,5th October 2022,TRUE,,Couple Leisure,Economy Class,Santorini to Athens,October 2022,2,2,,1,,,1,no
137,Aegean Airlines,1,1st October 2022,FALSE,,Couple Leisure,Economy Class,Corfu to Skopje via Athens,August 2022,1,1,1,1,1,1,1,no
138,Aegean Airlines,5,30th September 2022,TRUE,A321 / A321,Solo Leisure,Economy Class,Yerevan to Hamburg via Athens,September 2022,4,5,3,1,1,,3,no
139,Aegean Airlines,1,20th September 2022,TRUE,,Couple Leisure,Economy Class,Oslo to Santorini,September 2022,2,5,2,1,,,1,no
140,Aegean Airlines,5,18th September 2022,TRUE,,Family Leisure,Economy Class,Rhodes to Amsterdam via Athens,September 2022,5,5,4,4,,,3,yes
141,Aegean Airlines,1,18th September 2022,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,September 2022,5,5,5,5,,,5,yes
142,Aegean Airlines,4,17th September 2022,TRUE,A320,Business,Economy Class,Helsinki to Athens,September 2022,3,3,1,4,,,2,no
143,Aegean Airlines,2,11th September 2022,TRUE,A321 classic,Couple Leisure,Economy Class,Tbislis to Frankfurt via Athens,June 2022,3,1,2,2,,,3,no
144,Aegean Airlines,6,5th September 2022,TRUE,A321,Solo Leisure,Economy Class,Athens to Beirut,September 2022,2,4,4,4,,,3,yes
145,Aegean Airlines,2,2nd September 2022,TRUE,A320,Couple Leisure,Economy Class,Athens to Mykonos,August 2022,2,3,,1,,,1,no
146,Aegean Airlines,2,2nd September 2022,TRUE,A320 Neo,Couple Leisure,Economy Class,Athens to Munich,September 2022,2,3,3,1,,,1,no
147,Aegean Airlines,1,18th August 2022,TRUE,A320,Solo Leisure,Economy Class,Berlin to Thessaloniki,June 2022,5,5,5,5,4,,5,yes
148,Aegean Airlines,5,12th August 2022,TRUE,,Solo Leisure,Economy Class,Stuttgart to Thessaloniki via Athens,August 2022,3,4,3,1,,,1,no
149,Aegean Airlines,1,11th August 2022,FALSE,A321 Neo,Business,Economy Class,Athens to London Heathrow,August 2022,4,5,5,5,5,5,5,yes
150,Aegean Airlines,1,11th August 2022,TRUE,,Family Leisure,Economy Class,London to Istanbul via Athens,August 2022,2,2,1,1,,,1,no
151,Aegean Airlines,2,2nd August 2022,TRUE,,Business,Economy Class,Heraklion to Athens,August 2022,3,3,1,1,,,1,no
152,Aegean Airlines,1,29th July 2022,TRUE,,Business,Economy Class,Athens to Sofia,July 2022,1,1,,1,,,1,no
153,Aegean Airlines,1,11th July 2022,TRUE,,Couple Leisure,Economy Class,Mykonos to Rome via Athens,July 2022,1,1,,1,,,1,no
154,Aegean Airlines,9,9th July 2022,FALSE,A321 Neo,Solo Leisure,Economy Class,Athens to London,July 2022,5,5,5,5,4,5,5,yes
155,Aegean Airlines,2,8th July 2022,TRUE,A321 Neo,Solo Leisure,Economy Class,Athens to London,July 2022,3,3,1,3,,,2,no
156,Aegean Airlines,1,7th July 2022,TRUE,,Solo Leisure,Premium Economy,London to Athens,July 2022,1,1,,1,,,1,no
157,Aegean Airlines,1,3rd July 2022,TRUE,A320neo,Solo Leisure,Economy Class,Thessaloniki to Athens,July 2022,2,2,,1,,,1,no
158,Aegean Airlines,9,26th June 2022,FALSE,A320,Solo Leisure,Economy Class,Istanbul to Athens,June 2022,5,5,5,5,4,5,5,yes
159,Aegean Airlines,1,25th June 2022,FALSE,,Business,Economy Class,Dublin to Paros via Athens,June 2022,3,3,3,1,,,1,no
160,Aegean Airlines,7,20th June 2022,TRUE,A320Neo,Couple Leisure,Business Class,Mykonos to Copenhagen via Athens,June 2022,4,5,3,1,2,1,1,yes
161,Aegean Airlines,1,20th June 2022,FALSE,,Solo Leisure,Economy Class,Athens to Paris,June 2022,2,3,1,1,1,1,1,no
162,Aegean Airlines,1,18th June 2022,FALSE,,Solo Leisure,Economy Class,Athens to Mykonos,June 2022,,,,,,,5,yes
163,Aegean Airlines,4,5th May 2022,TRUE,,Couple Leisure,Premium Economy,Santorini to Athens,May 2022,4,1,,4,,,3,no
164,Aegean Airlines,1,4th May 2022,TRUE,,Couple Leisure,Economy Class,Hamburg to Athens,May 2022,,,,,,,1,no
165,Aegean Airlines,1,24th April 2022,TRUE,A319,Solo Leisure,Economy Class,Heraklion to Athens,April 2022,5,5,5,5,,,5,yes
166,Aegean Airlines,9,20th April 2022,FALSE,A321 Neo,Solo Leisure,Economy Class,London to Athens,April 2022,4,5,5,5,5,4,5,yes
167,Aegean Airlines,1,19th April 2022,TRUE,,Family Leisure,Economy Class,Brussels to Athens,May 2021,1,1,1,1,1,1,1,no
168,Aegean Airlines,1,19th April 2022,TRUE,,Couple Leisure,Economy Class,London to Istanbul via Athens,April 2022,,,,,,,1,no
169,Aegean Airlines,3,8th April 2022,TRUE,A319-100,Business,Business Class,Athens to Istanbul,April 2022,1,5,3,5,,,1,no
170,Aegean Airlines,1,7th April 2022,FALSE,,Couple Leisure,Economy Class,London to Athens,September 2021,1,1,1,1,,,1,no
171,Aegean Airlines,1,4th April 2022,TRUE,A320,Couple Leisure,Economy Class,Athens to Thessaloniki,April 2022,1,3,2,3,,2,1,no
172,Aegean Airlines,1,3rd April 2022,FALSE,A320 NEO,Solo Leisure,Economy Class,Athens to London,March 2022,4,5,5,5,4,5,5,yes
173,Aegean Airlines,1,1st April 2022,TRUE,A320,Business,Economy Class,Athens to Santorini,April 2022,1,1,1,1,1,1,1,no
174,Aegean Airlines,1,6th March 2022,TRUE,,Business,Economy Class,Athens to Stockholm,February 2022,5,5,5,5,,,5,yes
175,Aegean Airlines,9,21st February 2022,FALSE,A320 NEO,Solo Leisure,Economy Class,London to Athens,February 2022,4,5,4,5,4,4,5,yes
176,Aegean Airlines,6,20th February 2022,FALSE,A320 neo,Family Leisure,Economy Class,Athens to London,February 2022,2,4,2,5,1,1,2,yes
177,Aegean Airlines,4,5th January 2022,TRUE,A321,Family Leisure,Economy Class,Athens to Helsinki,December 2021,4,2,1,3,1,,1,yes
178,Aegean Airlines,1,31st December 2021,TRUE,,Family Leisure,Economy Class,Athens to Paris,December 2021,2,4,2,1,,,1,no
179,Aegean Airlines,1,25th December 2021,TRUE,A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,November 2021,5,5,5,5,,,5,yes
180,Aegean Airlines,4,7th December 2021,TRUE,,Business,Economy Class,Prague to Athens via Heraklion,December 2021,4,4,3,1,3,,1,no
181,Aegean Airlines,5,15th November 2021,TRUE,A320NEO,Business,Economy Class,Larnaca to Athens,November 2021,4,5,2,4,,,2,no
182,Aegean Airlines,2,4th November 2021,TRUE,,Business,Economy Class,Stockholm to Athens,November 2021,,,,1,,,1,no
183,Aegean Airlines,2,3rd November 2021,TRUE,,Family Leisure,Economy Class,London to Athens,November 2021,2,3,1,1,,,2,no
184,Aegean Airlines,7,10th October 2021,TRUE,A320 neo,Solo Leisure,Economy Class,Athens to Munich,October 2021,3,4,4,4,4,4,5,yes
185,Aegean Airlines,7,2nd October 2021,TRUE,A320,Couple Leisure,Economy Class,Stuttgart to Heraklion,October 2021,3,3,3,4,,,5,yes
186,Aegean Airlines,1,2nd October 2021,TRUE,,Couple Leisure,Economy Class,Naples to Santorini,October 2021,,,,,,,1,no
187,Aegean Airlines,5,26th September 2021,TRUE,A320,Solo Leisure,Economy Class,Heraklion to Thessaloniki,September 2021,3,4,2,4,,,3,no
188,Aegean Airlines,2,14th September 2021,TRUE,DHC-8 400 Series,Solo Leisure,Economy Class,Corfu to Athens,September 2021,3,3,,1,,,1,no
189,Aegean Airlines,1,12th September 2021,TRUE,Oa 201,Couple Leisure,Economy Class,Rhodes to Geneva via Athens,September 2021,1,1,,1,,,1,no
190,Aegean Airlines,3,10th September 2021,TRUE,,Solo Leisure,Economy Class,Sofia to Thessaloniki via Athens,September 2021,4,5,4,3,,,3,no
191,Aegean Airlines,3,9th September 2021,TRUE,,Business,Economy Class,Zurich to Athens,September 2021,1,1,1,1,,,1,no
192,Aegean Airlines,1,4th September 2021,FALSE,A321,Solo Leisure,Business Class,Larnaca to London Heathrow via Athens,September 2021,3,5,4,5,3,4,4,yes
193,Aegean Airlines,9,3rd September 2021,FALSE,,Family Leisure,Economy Class,London to Athens,September 2021,4,5,5,5,5,5,5,yes
194,Aer Lingus,3,21st July 2023,FALSE,,Couple Leisure,Economy Class,Seattle to Dublin,August 2022,4,4,3,1,3,,3,no
195,Aer Lingus,1,18th July 2023,TRUE,A300-300,Couple Leisure,Economy Class,Dublin to Orlando via Cork,July 2023,1,4,1,3,,,2,no
196,Aer Lingus,1,18th July 2023,TRUE,Airbus,Couple Leisure,Economy Class,Alicante to Dublin,July 2023,3,5,5,5,,,5,yes
197,Aer Lingus,3,18th July 2023,FALSE,,Couple Leisure,Economy Class,Southampton to Dublin,July 2023,2,2,,4,,,1,no
198,Aer Lingus,2,15th July 2023,FALSE,,Solo Leisure,Economy Class,Edinburgh to Belfast,July 2023,3,3,,1,,,2,no
199,Aer Lingus,1,14th July 2023,FALSE,,Couple Leisure,Economy Class,Dublin to London,May 2023,2,2,1,1,1,1,1,no
200,Aer Lingus,1,10th July 2023,FALSE,,Family Leisure,Economy Class,Dublin to Philadelphia,July 2023,1,1,1,1,1,1,1,no
201,Aer Lingus,2,1st July 2023,FALSE,A330,Couple Leisure,Economy Class,Dublin to New York,June 2023,2,4,4,1,1,1,3,no
202,Aer Lingus,1,30th June 2023,FALSE,,Family Leisure,Economy Class,Paris to New York via Dublin,June 2023,3,4,,1,,1,1,no
203,Aer Lingus,1,30th June 2023,TRUE,,Family Leisure,Economy Class,Naples to Washington via Dublin,August 2022,2,2,1,3,3,2,3,no
204,Aer Lingus,1,29th June 2023,TRUE,,Family Leisure,Economy Class,Chicago to Dublin,June 2023,1,1,1,1,,,1,no
205,Aer Lingus,1,28th June 2023,FALSE,,Couple Leisure,Economy Class,Boston to Athens via Dublin,June 2023,1,5,,1,,,1,no
206,Aer Lingus,9,27th June 2023,TRUE,A320,Family Leisure,Economy Class,Cork to Dubrovnik,June 2023,4,5,,4,,,5,yes
207,Aer Lingus,1,25th June 2023,FALSE,,Couple Leisure,Economy Class,New York to Naples via Dublin,June 2023,1,1,1,1,1,1,1,no
208,Aer Lingus,1,20th June 2023,TRUE,,Couple Leisure,Economy Class,Manchester to New York JFK,May 2023,1,1,,1,,,1,no
209,Aer Lingus,1,18th June 2023,TRUE,A330,Solo Leisure,Economy Class,Dublin to San Francisco,June 2023,3,5,5,1,3,1,1,no
210,Aer Lingus,1,17th June 2023,FALSE,,Couple Leisure,Economy Class,Washington to Naples via Dublin,June 2023,1,1,1,1,1,1,1,no
211,Aer Lingus,7,14th June 2023,TRUE,A330,Couple Leisure,Business Class,New York JFK to Manchester,June 2023,5,4,3,5,2,1,4,yes
212,Aer Lingus,2,14th June 2023,TRUE,A330,Family Leisure,Economy Class,Orlando to Dublin,May 2023,3,4,4,3,4,4,2,no
213,Aer Lingus,3,13th June 2023,FALSE,,Business,Economy Class,London Heathrow to Shannon,June 2023,1,1,1,1,,,1,no
